"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage"
"C4170","0","10","40","0","2014","1","","San Antonio-New Braunfels, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",45828,888979,897270,904941,10412751522,4468274618,108332336,893,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"C4170","0","10","40","0","2014","2","","San Antonio-New Braunfels, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",45927,912463,919313,922940,9780955056,1479279109,31022059,819,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"C4170","0","10","40","0","2014","3","","San Antonio-New Braunfels, TX MSA","Total Covered","Total, all industries","MSA, Total Covered","All establishment sizes",46264,916279,918965,921911,10038110075,977838059,20943403,840,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"C4170","1","10","41","0","2014","1","","San Antonio-New Braunfels, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",268,34274,34385,34368,605721539,0,0,1357,"",0.89,1.89,1.89,1.88,1.95,0.00,0.00,1.03
"C4170","1","10","41","0","2014","2","","San Antonio-New Braunfels, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",256,34356,33881,34320,575340232,0,0,1295,"",0.85,1.87,1.85,1.87,2.00,0.00,0.00,1.07
"C4170","1","10","41","0","2014","3","","San Antonio-New Braunfels, TX MSA","Federal Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",256,34190,34100,33943,609850623,0,0,1377,"",0.85,1.85,1.85,1.86,1.87,0.00,0.00,1.01
"C4170","2","10","41","0","2014","1","","San Antonio-New Braunfels, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",150,18281,18343,18551,240957006,0,0,1008,"",0.45,0.61,0.60,0.60,0.69,0.00,0.00,1.14
"C4170","2","10","41","0","2014","2","","San Antonio-New Braunfels, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",149,18225,18361,17866,243123713,0,0,1030,"",0.44,0.59,0.60,0.59,0.68,0.00,0.00,1.14
"C4170","2","10","41","0","2014","3","","San Antonio-New Braunfels, TX MSA","State Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",146,17965,17904,18983,244487403,0,0,1029,"",0.44,0.60,0.60,0.62,0.67,0.00,0.00,1.11
"C4170","3","10","41","0","2014","1","","San Antonio-New Braunfels, TX MSA","Local Government","Total, all industries","MSA, Total -- by ownership sector","All establishment sizes",395,106199,108373,108481,1180886415,32436139,745996,844,"",0.49,1.14,1.15,1.14,1.28,0.45,0.93,1.11
