"index"	"food_item"	"count"	"date"
1	"onion"	8	2015-06-18 20:35:54
2	"tomato"	5	2015-09-20 12:37:03
3	"tomato"	2	2015-08-09 18:31:22
4	"onion"	2	2015-10-10 18:35:24
5	"tomato"	1	2015-07-25 12:55:21
6	"onion"	6	2015-10-25 13:48:38
7	"tomato"	2	2015-10-01 12:31:34
8	"tomato"	2	2015-09-26 17:46:40
9	"pineapple"	2	2015-10-03 11:01:59
10	"onion"	2	2015-08-27 21:42:44
11	"pineapple"	2	2015-08-21 13:25:45
12	"pineapple"	2	2015-11-04 08:22:08
13	"onion"	7	2015-09-06 12:04:41
14	"onion"	2	2015-08-15 18:36:04
15	"onion"	4	2015-11-03 17:04:11
16	"tomato"	1	2015-07-12 17:43:53
17	"onion"	8	2015-08-14 16:01:13
18	"onion"	6	2015-07-25 19:38:45
19	"onion"	2	2015-08-19 21:03:42
20	"tomato"	2	2015-10-31 09:47:13
21	"tomato"	2	2015-06-16 17:24:55
22	"onion"	7	2015-10-20 16:53:46
23	"tomato"	2	2015-07-20 15:18:00
24	"tomato"	2	2015-10-24 15:27:40
25	"onion"	6	2015-08-23 18:55:24
26	"onion"	8	2015-07-17 21:10:17
27	"pineapple"	2	2015-08-24 08:51:38
28	"tomato"	3	2015-06-26 16:28:01
29	"tomato"	3	2015-09-22 18:26:19
30	"onion"	3	2015-10-29 14:18:15
31	"onion"	8	2015-08-16 17:24:11
32	"pineapple"	2	2015-08-07 06:52:15
33	"onion"	8	2015-09-05 14:49:27
34	"pineapple"	3	2015-08-02 10:50:09
35	"onion"	6	2015-10-28 21:23:01
36	"tomato"	2	2015-07-31 15:58:56
37	"onion"	7	2015-11-05 15:51:22
38	"tomato"	3	2015-06-28 08:05:52
39	"pineapple"	1	2015-08-01 09:13:38
40	"tomato"	2	2015-07-28 21:29:18
41	"onion"	9	2015-10-07 20:20:48
42	"tomato"	1	2015-10-21 15:25:52
43	"tomato"	2	2015-10-17 15:23:49
44	"tomato"	1	2015-06-17 06:48:24
45	"pineapple"	1	2015-10-05 09:19:20
46	"tomato"	2	2015-06-27 17:56:55
47	"onion"	4	2015-08-21 13:11:24
48	"pineapple"	2	2015-07-09 07:51:00
49	"tomato"	3	2015-06-28 06:10:22
50	"tomato"	1	2015-10-19 13:16:16
51	"tomato"	3	2015-09-18 15:23:43
52	"tomato"	2	2015-09-08 21:41:02
53	"tomato"	1	2015-06-22 07:23:43
54	"onion"	8	2015-09-06 14:02:42
55	"tomato"	2	2015-06-28 13:53:26
